Date,Open,High,Low,Close,Adj Close,Volume
2022-12-07,897.799988,902.500000,884.799988,886.750000,880.828430,2867882
2022-12-08,888.000000,898.500000,887.349976,892.900024,886.937439,2822061
2022-12-09,896.049988,912.000000,882.200012,890.750000,884.801758,6979639
2022-12-12,892.049988,894.849976,878.549988,881.299988,875.414856,3412185
2022-12-13,884.950012,898.000000,881.299988,894.799988,888.824707,3821073
2022-12-14,897.200012,908.500000,891.650024,900.549988,894.536316,4930906
2022-12-15,900.250000,906.950012,880.349976,883.950012,878.047180,3679459
2022-12-16,882.950012,890.950012,854.400024,860.450012,854.704102,7791763
2022-12-19,860.450012,896.000000,859.599976,892.849976,886.887695,5205837
2022-12-20,894.099976,895.299988,871.299988,884.250000,878.345154,4023275
2022-12-21,887.000000,893.000000,851.549988,857.650024,851.922791,4660583
2022-12-22,864.700012,874.299988,845.549988,856.900024,851.177795,5517570
2022-12-23,853.000000,853.950012,790.200012,794.099976,788.797119,9112806
2022-12-26,798.000000,812.000000,785.299988,806.049988,800.667358,7205540
2022-12-27,810.099976,821.200012,798.099976,817.150024,811.693237,4872234
2022-12-28,815.750000,817.000000,808.799988,810.349976,804.938599,3624974
2022-12-29,807.000000,822.500000,799.549988,819.549988,814.077209,5308353
2022-12-30,822.450012,826.750000,815.599976,818.099976,812.636841,3252956
2023-01-02,823.000000,826.750000,816.299988,822.299988,816.808838,2042294
2023-01-03,822.250000,826.400024,817.799988,820.450012,814.971191,2166531
2023-01-04,820.799988,822.000000,806.500000,810.000000,804.591003,3260112
2023-01-05,814.049988,821.599976,797.000000,819.599976,814.126831,3119740
2023-01-06,819.900024,824.400024,803.500000,806.099976,800.716980,2892006
2023-01-09,810.450012,820.250000,809.099976,816.650024,811.196594,2040072
2023-01-10,817.000000,820.650024,781.099976,796.400024,791.081848,4545808
2023-01-11,800.000000,803.099976,789.049988,796.450012,791.131470,3618663
2023-01-12,796.700012,799.450012,786.099976,792.950012,787.654846,2670641
2023-01-13,795.599976,800.250000,786.000000,794.650024,789.343506,4059998
2023-01-16,797.000000,797.500000,784.400024,787.049988,781.794250,3601251
2023-01-17,788.349976,791.450012,778.099976,784.750000,779.509583,2948618
